Country,Year,Variable,Unit,Value
Brazil,1990,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.445311416
Brazil,1990,Fossil Fuel Consumption,Exajoules,3.104244744
Brazil,1990,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.639448755
Brazil,1990,Primary Energy Consumption per Capita,Gigajoules per capita,37.40762476
Brazil,1990,Carbon Intensity,tonne CO2-eq per Megajoule,40.43187787
Brazil,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,227.9375491
Brazil,2008,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.426319834
Brazil,2008,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.00409262
Brazil,2008,Fossil Fuel Consumption,Exajoules,5.934647432
Brazil,2008,Carbon Intensity,tonne CO2-eq per Megajoule,41.61257525
Brazil,2008,Primary Energy Consumption per Capita,Gigajoules per capita,54.91831596
Brazil,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,440.3126117
Brazil,2012,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.417002163
Brazil,2012,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.055964302
Brazil,2012,Fossil Fuel Consumption,Exajoules,6.967858211
Brazil,2012,Carbon Intensity,tonne CO2-eq per Megajoule,42.03377274
Brazil,2012,Primary Energy Consumption per Capita,Gigajoules per capita,61.06857924
Brazil,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,513.3313289
Brazil,2017,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.426506056
Brazil,2017,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.218779382
Brazil,2017,Fossil Fuel Consumption,Exajoules,7.00492132
Brazil,2017,Carbon Intensity,tonne CO2-eq per Megajoule,41.5893346
Brazil,2017,Primary Energy Consumption per Capita,Gigajoules per capita,59.791267
Brazil,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,518.4849073
Brazil,2022,Other non-Renewable,Share of Generation Mix,0.00333847
Brazil,2022,Oil,Share of Generation Mix,0.01497306
Brazil,2022,Nuclear,Share of Generation Mix,0.021499694
Brazil,2022,Coal ,Share of Generation Mix,0.024306459
Brazil,2022,Solar,Share of Generation Mix,0.044488572
Brazil,2022,Gas,Share of Generation Mix,0.062185285
Brazil,2022,Other Renewables,Share of Generation Mix,0.077930588
Brazil,2022,Wind,Share of Generation Mix,0.120547577
Brazil,2022,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.487351952
Brazil,2022,Hydro,Share of Generation Mix,0.630730295
Brazil,2022,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.21390772
Brazil,2022,Fossil Fuel Consumption,Exajoules,6.743244569
Brazil,2022,Carbon Intensity,tonne CO2-eq per Megajoule,37.7317714
Brazil,2022,Primary Energy Consumption per Capita,Gigajoules per capita,62.27909993
Brazil,2022,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,505.9653529
Bulgaria,1990,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.017079412
Bulgaria,1990,Fossil Fuel Consumption,Exajoules,1.000714037
Bulgaria,1990,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,11.94892013
Bulgaria,1990,Carbon Intensity,tonne CO2-eq per Megajoule,66.62769148
Bulgaria,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,77.98833963
Bulgaria,1990,Primary Energy Consumption per Capita,Gigajoules per capita,133.5012596
Bulgaria,2008,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.036255204
Bulgaria,2008,Fossil Fuel Consumption,Exajoules,0.646029451
Bulgaria,2008,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,6.566460925
Bulgaria,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,53.47254449
Bulgaria,2008,Carbon Intensity,tonne CO2-eq per Megajoule,64.49251007
Bulgaria,2008,Primary Energy Consumption per Capita,Gigajoules per capita,108.0309286
Bulgaria,2012,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.07307173
Bulgaria,2012,Fossil Fuel Consumption,Exajoules,0.563448026
Bulgaria,2012,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,6.051870759
Bulgaria,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,48.48058232
Bulgaria,2012,Carbon Intensity,tonne CO2-eq per Megajoule,63.0297051
Bulgaria,2012,Primary Energy Consumption per Capita,Gigajoules per capita,102.7156847
Bulgaria,2017,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.084431238
Bulgaria,2017,Fossil Fuel Consumption,Exajoules,0.576195172
Bulgaria,2017,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,5.61467273
Bulgaria,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,48.73917031
Bulgaria,2017,Carbon Intensity,tonne CO2-eq per Megajoule,62.05427007
Bulgaria,2017,Primary Energy Consumption per Capita,Gigajoules per capita,109.3541274
Bulgaria,2022,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.126341301
Bulgaria,2022,Fossil Fuel Consumption,Exajoules,0.580829211
Bulgaria,2022,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,5.238296059
Bulgaria,2022,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,48.7646135
Bulgaria,2022,Carbon Intensity,tonne CO2-eq per Megajoule,58.4429638
Bulgaria,2022,Primary Energy Consumption per Capita,Gigajoules per capita,123.0319135
Canada,1990,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.294809998
Canada,1990,Fossil Fuel Consumption,Exajoules,6.89765605
Canada,1990,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,12.03960454
Canada,1990,Carbon Intensity,tonne CO2-eq per Megajoule,44.448073
Canada,1990,Primary Energy Consumption per Capita,Gigajoules per capita,391.6120735
Canada,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,481.412412
Canada,2008,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.285910956
Canada,2008,Fossil Fuel Consumption,Exajoules,9.021172696
Canada,2008,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,9.721309967
Canada,2008,Carbon Intensity,tonne CO2-eq per Megajoule,43.91747412
Canada,2008,Primary Energy Consumption per Capita,Gigajoules per capita,419.3249695
